island,kind,day,idx,name,distance_km,json_lat,json_lng,osm_lat,osm_lng,gmaps_link_json,gmaps_link_osm
halki,stop,0,2,Old Chorio (Medieval Capital),49.11,36.2167,27.5961,36.6128,27.839,"https://www.google.com/maps?q=36.2167,27.5961","https://www.google.com/maps?q=36.6128,27.839"
evia-central,stop,1,2,Folklore Museum of Chalkida (or Aliveri vineyards),46.94,38.464,23.594,38.8586,23.4018,"https://www.google.com/maps?q=38.464,23.594","https://www.google.com/maps?q=38.8586,23.4018"
folegandros,stop,0,3,Church of Panagia (hilltop),44.67,36.6302,24.9256,36.9881,24.6978,"https://www.google.com/maps?q=36.6302,24.9256","https://www.google.com/maps?q=36.9881,24.6978"
agathonisi,beach,,2,Agios Georgios Beach,44.24,37.4573697,26.967711,37.0597,26.9533,"https://www.google.com/maps?q=37.4573697,26.967711","https://www.google.com/maps?q=37.0597,26.9533"
sifnos,stop,1,0,Chrysopigi Monastery,43.14,36.9367,24.7417,36.6984,25.1241,"https://www.google.com/maps?q=36.9367,24.7417","https://www.google.com/maps?q=36.6984,25.1241"
andros,stop,1,2,Ano Mesaria,42.16,37.7995,24.8739,37.4222,24.9205,"https://www.google.com/maps?q=37.7995,24.8739","https://www.google.com/maps?q=37.4222,24.9205"
gavdos,stop,0,3,Walk to Agios Ioannis,40.89,34.8677465,24.0844774,35.2317,24.0199,"https://www.google.com/maps?q=34.8677465,24.0844774","https://www.google.com/maps?q=35.2317,24.0199"
skopelos,stop,0,2,Folklore Museum,40.55,39.1217,23.7267,38.8586,23.4018,"https://www.google.com/maps?q=39.1217,23.7267","https://www.google.com/maps?q=38.8586,23.4018"
antiparos,stop,1,2,Livadi Beach (Despotiko),40.54,36.9669,25.024,36.6068,24.953,"https://www.google.com/maps?q=36.9669,25.024","https://www.google.com/maps?q=36.6068,24.953"
donousa,beach,,2,Kalotaritissa Beach,37.35,37.1238357,25.8166132,36.7931,25.7432,"https://www.google.com/maps?q=37.1238357,25.8166132","https://www.google.com/maps?q=36.7931,25.7432"
lefkada,beach,,3,Mylos Beach (Agios Nikitas),36.15,38.78840464311369,20.60851460701953,38.5663,20.9127,"https://www.google.com/maps?q=38.78840464311369,20.60851460701953","https://www.google.com/maps?q=38.5663,20.9127"
agios-efstratios,stop,0,3,Village Beach (volcanic black sand),35.66,39.5388,24.988,39.8537,25.067,"https://www.google.com/maps?q=39.5388,24.988","https://www.google.com/maps?q=39.8537,25.067"
agios-efstratios,beach,,0,Village Beach (Παραλία του Χωριού),35.66,39.5388,24.988,39.8537,25.067,"https://www.google.com/maps?q=39.5388,24.988","https://www.google.com/maps?q=39.8537,25.067"
samos,stop,1,3,Psili Ammos Beach,32.95,37.6836,27.0175,37.7031,26.6438,"https://www.google.com/maps?q=37.6836,27.0175","https://www.google.com/maps?q=37.7031,26.6438"
samos,beach,,0,Psili Ammos Beach,32.95,37.6836,27.0175,37.7031,26.6438,"https://www.google.com/maps?q=37.6836,27.0175","https://www.google.com/maps?q=37.7031,26.6438"
iraklia,stop,0,0,Agios Georgios (Port),32.51,36.8609578,25.4671189,36.6908,25.1703,"https://www.google.com/maps?q=36.8609578,25.4671189","https://www.google.com/maps?q=36.6908,25.1703"
koufonisia,stop,1,4,Return to Chora,28.68,36.9323,25.6012,36.8317,25.8982,"https://www.google.com/maps?q=36.9323,25.6012","https://www.google.com/maps?q=36.8317,25.8982"
schoinoussa,stop,0,3,Almyros Beach,26.43,36.8489,25.5314,36.7459,25.2638,"https://www.google.com/maps?q=36.8489,25.5314","https://www.google.com/maps?q=36.7459,25.2638"
schoinoussa,beach,,3,Almyros Beach,26.43,36.8489,25.5314,36.7459,25.2638,"https://www.google.com/maps?q=36.8489,25.5314","https://www.google.com/maps?q=36.7459,25.2638"
serifos,beach,,2,Agios Ioannis,25.94,37.1727,24.5393,37.3994,24.4702,"https://www.google.com/maps?q=37.1727,24.5393","https://www.google.com/maps?q=37.3994,24.4702"
ammouliani,stop,0,1,Agios Nikolaos Church,25.61,40.3326,23.9241,40.5272,23.7622,"https://www.google.com/maps?q=40.3326,23.9241","https://www.google.com/maps?q=40.5272,23.7622"
evia-south,stop,0,2,Castello Rosso (Bourtzi),24.02,38.0347163,24.4313975,38.1656,24.213,"https://www.google.com/maps?q=38.0347163,24.4313975","https://www.google.com/maps?q=38.1656,24.213"
lasithi,stop,2,4,Return to Sitia,22.28,35.2087,26.1052,35.0093,26.1287,"https://www.google.com/maps?q=35.2087,26.1052","https://www.google.com/maps?q=35.0093,26.1287"
skopelos,stop,2,0,Evangelistria Monastery,21.75,39.115,23.7133,39.1903,23.4805,"https://www.google.com/maps?q=39.115,23.7133","https://www.google.com/maps?q=39.1903,23.4805"
skopelos,stop,1,3,Milia Beach,20.53,39.1170377,23.6538035,39.1616,23.8849,"https://www.google.com/maps?q=39.1170377,23.6538035","https://www.google.com/maps?q=39.1616,23.8849"
oinousses,stop,0,1,Naval Museum,17.95,38.5192,26.2028,38.3671,26.1339,"https://www.google.com/maps?q=38.5192,26.2028","https://www.google.com/maps?q=38.3671,26.1339"
karpathos,stop,2,0,Drive to Olympos,17.74,35.5917,27.1444,35.7473,27.1881,"https://www.google.com/maps?q=35.5917,27.1444","https://www.google.com/maps?q=35.7473,27.1881"
corfu,stop,2,5,Return to Paleokastritsa,16.71,39.6695,19.7016,39.6264,19.8886,"https://www.google.com/maps?q=39.6695,19.7016","https://www.google.com/maps?q=39.6264,19.8886"
corfu,stop,3,4,Return to Sidari,14.85,39.7932,19.7084,39.6817,19.8039,"https://www.google.com/maps?q=39.7932,19.7084","https://www.google.com/maps?q=39.6817,19.8039"
evia-central,beach,,1,Kalamos Beach,13.86,38.354,24.082,38.4496,24.184,"https://www.google.com/maps?q=38.354,24.082","https://www.google.com/maps?q=38.4496,24.184"
lefkada,stop,3,2,Agios Petros Village,13.73,38.78941,20.6132008,38.6663,20.6017,"https://www.google.com/maps?q=38.78941,20.6132008","https://www.google.com/maps?q=38.6663,20.6017"
lefkada,stop,1,4,Return to Nydri,12.97,38.71,20.7141,38.8263,20.7027,"https://www.google.com/maps?q=38.71,20.7141","https://www.google.com/maps?q=38.8263,20.7027"
lefkada,stop,2,4,Return to Nydri,12.97,38.71,20.7141,38.8263,20.7027,"https://www.google.com/maps?q=38.71,20.7141","https://www.google.com/maps?q=38.8263,20.7027"
lefkada,stop,3,1,Mikros Gialos,12.51,38.671165057902314,20.557079290391925,38.64,20.6955,"https://www.google.com/maps?q=38.671165057902314,20.557079290391925","https://www.google.com/maps?q=38.64,20.6955"
koufonisia,stop,1,2,Pori Beach,11.67,36.943,25.626,36.8648,25.5385,"https://www.google.com/maps?q=36.943,25.626","https://www.google.com/maps?q=36.8648,25.5385"
koufonisia,beach,,0,Pori Beach,11.67,36.943,25.626,36.8648,25.5385,"https://www.google.com/maps?q=36.943,25.626","https://www.google.com/maps?q=36.8648,25.5385"
ios,beach,,3,Kalamos Beach,11.63,36.685,25.25,36.6939,25.38,"https://www.google.com/maps?q=36.685,25.25","https://www.google.com/maps?q=36.6939,25.38"
lefkada,stop,1,0,Nydri,11.25,38.7233,20.7017,38.8244,20.7028,"https://www.google.com/maps?q=38.7233,20.7017","https://www.google.com/maps?q=38.8244,20.7028"
alonnisos,stop,1,2,Peristera Island,10.34,39.1233,23.9167,39.202,23.9804,"https://www.google.com/maps?q=39.1233,23.9167","https://www.google.com/maps?q=39.202,23.9804"
lesvos,stop,1,0,Plomari,10.26,38.9751,26.3684,39.0409,26.2852,"https://www.google.com/maps?q=38.9751,26.3684","https://www.google.com/maps?q=39.0409,26.2852"
andros,stop,0,2,Archaeological Museum,9.87,37.838,24.9449,37.8176,24.8355,"https://www.google.com/maps?q=37.838,24.9449","https://www.google.com/maps?q=37.8176,24.8355"
kos,stop,1,0,Paradise Beach,9.81,36.6843955,26.9487522,36.7597,27.0062,"https://www.google.com/maps?q=36.6843955,26.9487522","https://www.google.com/maps?q=36.7597,27.0062"
kos,beach,,0,Paradise Beach,9.81,36.6843955,26.9487522,36.7597,27.0062,"https://www.google.com/maps?q=36.6843955,26.9487522","https://www.google.com/maps?q=36.7597,27.0062"
kasos,beach,,2,Avlaki,9.75,35.4194,26.9203,35.3512,26.8527,"https://www.google.com/maps?q=35.4194,26.9203","https://www.google.com/maps?q=35.3512,26.8527"
aegina,stop,0,1,Temple of Apollo (Kolona),9.63,37.7543466,23.5330988,37.7504,23.4237,"https://www.google.com/maps?q=37.7543466,23.5330988","https://www.google.com/maps?q=37.7504,23.4237"
rethymno,stop,0,4,Rethymno Beach,9.54,35.3673,24.4872,35.3845,24.5902,"https://www.google.com/maps?q=35.3673,24.4872","https://www.google.com/maps?q=35.3845,24.5902"
samothrace,beach,,2,Kipos,9.08,40.5011,25.6587,40.4229,25.6894,"https://www.google.com/maps?q=40.5011,25.6587","https://www.google.com/maps?q=40.4229,25.6894"
kos,stop,1,3,Camel Beach,8.54,36.7644,27.095,36.7563,26.9996,"https://www.google.com/maps?q=36.7644,27.095","https://www.google.com/maps?q=36.7563,26.9996"
astypalaia,stop,1,0,Drive to Vatses,8.41,36.4956,26.4081,36.5137,26.3168,"https://www.google.com/maps?q=36.4956,26.4081","https://www.google.com/maps?q=36.5137,26.3168"
alonnisos,stop,1,1,Gioura Island,8.34,39.3667,24.0833,39.396,24.1726,"https://www.google.com/maps?q=39.3667,24.0833","https://www.google.com/maps?q=39.396,24.1726"
lefkada,stop,3,0,Poros Beach,8.12,38.665,20.6083,38.6408,20.6965,"https://www.google.com/maps?q=38.665,20.6083","https://www.google.com/maps?q=38.6408,20.6965"
thasos,stop,1,4,Theologos,7.51,40.658895,24.6927757,40.6131,24.6273,"https://www.google.com/maps?q=40.658895,24.6927757","https://www.google.com/maps?q=40.6131,24.6273"
lesvos,stop,3,2,Parakila,6.71,39.23,26.15,39.1701,26.1406,"https://www.google.com/maps?q=39.23,26.15","https://www.google.com/maps?q=39.1701,26.1406"
kefalonia,stop,4,3,Argostoli — Departure,6.42,38.1195,20.5048,38.1757,20.4879,"https://www.google.com/maps?q=38.1195,20.5048","https://www.google.com/maps?q=38.1757,20.4879"
amorgos,stop,2,0,Aegiali,6.33,36.8983,25.8967,36.8439,25.918,"https://www.google.com/maps?q=36.8983,25.8967","https://www.google.com/maps?q=36.8439,25.918"
lemnos,stop,1,0,Poliochni Archaeological Site,6.08,39.8964,25.3878,39.8539,25.3429,"https://www.google.com/maps?q=39.8964,25.3878","https://www.google.com/maps?q=39.8539,25.3429"
antiparos,stop,0,5,Sunset — Sifneiko Café,5.49,36.9938,25.075,37.0432,25.0763,"https://www.google.com/maps?q=36.9938,25.075","https://www.google.com/maps?q=37.0432,25.0763"
chios,stop,2,3,Komi Beach,5.42,38.2167,26.1,38.2005,26.0415,"https://www.google.com/maps?q=38.2167,26.1","https://www.google.com/maps?q=38.2005,26.0415"
chios,beach,,1,Komi Beach,5.42,38.2167,26.1,38.2005,26.0415,"https://www.google.com/maps?q=38.2167,26.1","https://www.google.com/maps?q=38.2005,26.0415"
skyros,stop,1,1,Palamari Archaeological Site,5.4,38.9373,24.5606,38.9647,24.5091,"https://www.google.com/maps?q=38.9373,24.5606","https://www.google.com/maps?q=38.9647,24.5091"
thasos,stop,1,1,Potamia,4.95,40.7134,24.787,40.7162,24.7283,"https://www.google.com/maps?q=40.7134,24.787","https://www.google.com/maps?q=40.7162,24.7283"
kythnos,stop,0,2,Katafyki Cave,4.87,37.4253,24.4365,37.3818,24.4301,"https://www.google.com/maps?q=37.4253,24.4365","https://www.google.com/maps?q=37.3818,24.4301"
samos,stop,0,3,Tsabou Beach,4.82,37.7744,26.8969,37.8016,26.8542,"https://www.google.com/maps?q=37.7744,26.8969","https://www.google.com/maps?q=37.8016,26.8542"
heraklion,stop,2,0,Lasithi Plateau,4.35,35.1498,25.497,35.1809,25.4679,"https://www.google.com/maps?q=35.1498,25.497","https://www.google.com/maps?q=35.1809,25.4679"
thasos,stop,2,3,Marble Beach (Saliara),4.09,40.7857,24.7625,40.7505,24.7481,"https://www.google.com/maps?q=40.7857,24.7625","https://www.google.com/maps?q=40.7505,24.7481"
thasos,beach,,0,Marble Beach (Saliara),4.09,40.7857,24.7625,40.7505,24.7481,"https://www.google.com/maps?q=40.7857,24.7625","https://www.google.com/maps?q=40.7505,24.7481"
kefalonia,stop,1,1,Mount Ainos National Park,3.9,38.1372,20.6728,38.1607,20.6396,"https://www.google.com/maps?q=38.1372,20.6728","https://www.google.com/maps?q=38.1607,20.6396"
ammouliani,stop,1,0,Boat to Drenia,3.89,40.3322,23.9233,40.3095,23.9582,"https://www.google.com/maps?q=40.3322,23.9233","https://www.google.com/maps?q=40.3095,23.9582"
