island,afford,room € BUDGET/night (Jul),room € MID/night (Jul),room € COMFORT/night (Jul),meal €pp/day (mid),car €/day small car (Jul — surges with season),boat day (auto — delete if wrong),boat €pp,NOTES
aegina,3.5,65,140,295,34,42,,,
agathonisi,4.5,45,95,200,28,42,,,
agios-efstratios,4.5,45,95,200,28,—,,,
agistri,4.0,50,115,240,31,—,,,
alonnisos,4.0,50,115,240,31,42,Marine Park Boat Trip,55,
ammouliani,4.0,50,115,240,31,42,Drenia Islets & Departure,55,
amorgos,3.5,65,140,295,34,42,,,
anafi,4.2,50,115,240,30,42,,,
andros,3.2,65,140,295,35,42,,,
antikythera,3.5,65,140,295,34,42,,,
antiparos,2.8,80,175,370,37,42,,,
arki,4.3,45,95,200,30,—,,,
astypalaia,3.8,50,115,240,32,42,,,
chania,3.4,65,140,295,34,42,,,
chios,4.5,45,95,200,28,42,,,
corfu,3.2,65,140,295,35,42,,,
donousa,3.8,50,115,240,32,—,,,
elafonisos,3.8,50,115,240,32,—,,,
erikousa,4.2,50,115,240,30,—,,,
evia-central,4.6,45,95,200,28,42,,,
evia-north,4.8,45,95,200,27,42,Lichadonisia & Limni,55,
evia-south,4.5,45,95,200,28,42,,,
folegandros,2.2,95,210,440,40,50,"Katergo, Livadaki & Departure",55,
fournoi,4.5,45,95,200,28,42,Chrysomilia & Thymaina,55,
gavdos,4.5,45,95,200,28,—,,,
halki,4.0,50,115,240,31,42,Boat Day — Western Beaches,55,
heraklion,3.5,65,140,295,34,42,,,
hydra,1.8,120,270,565,42,—,,,
ikaria,4.5,45,95,200,28,42,,,
ios,3.5,65,140,295,34,42,,,
iraklia,4.3,45,95,200,30,—,,,
ithaca,3.5,65,140,295,34,42,,,
kalamos,4.2,50,115,240,30,42,,,
kalymnos,4.2,50,115,240,30,42,Telendos Island & Departure,55,
karpathos,3.8,50,115,240,32,42,Kitesurfing Bays & Departure,55,
kasos,4.5,45,95,200,28,42,Day Trip to Armathia,55,
kastellorizo,3.5,65,140,295,34,—,,,
kastos,4.0,50,115,240,31,—,,,
kea,3.0,80,175,370,36,42,,,
kefalonia,3.8,50,115,240,32,42,,,
kimolos,3.8,50,115,240,32,42,Skiadi & the Southern Beaches,55,
kos,3.8,50,115,240,32,42,,,
koufonisia,3.0,80,175,370,36,—,Kato Koufonisi & Departure,55,
kythira,3.8,50,115,240,32,42,,,
kythnos,3.8,50,115,240,32,42,,,
lasithi,3.2,65,140,295,35,42,,,
lefkada,4.0,50,115,240,31,42,Nydri & the East Coast,55,
leipsoi,4.5,45,95,200,28,42,,,
lemnos,4.4,45,95,200,29,42,,,
leros,4.2,50,115,240,30,42,,,
lesvos,4.6,45,95,200,28,42,,,
mathraki,4.3,45,95,200,30,—,,,
meganisi,3.2,65,140,295,35,42,,,
milos,2.8,80,175,370,37,42,Kleftiko Boat Trip,100,
mykonos,1.0,160,350,735,46,50,Delos Sacred Island & Psarou Beach,55,
naxos,4.0,50,115,240,31,42,,,
nisyros,4.0,50,115,240,31,42,,,
oinousses,4.0,50,115,240,31,—,,,
othonoi,4.2,50,115,240,30,—,,,
paros,2.2,95,210,440,40,50,,,
patmos,2.5,80,175,370,38,42,,,
paxos,2.5,80,175,370,38,42,West Coast Cliffs & Antipaxos,55,
poros,3.2,65,140,295,35,42,,,
psara,4.2,50,115,240,30,—,,,
pserimos,4.0,50,115,240,31,—,,,
rethymno,3.7,50,115,240,32,42,,,
rhodes,3.5,65,140,295,34,42,,,
salamis,4.5,45,95,200,28,42,,,
samos,4.2,50,115,240,30,42,,,
samothrace,4.5,45,95,200,28,42,,,
santorini,1.0,160,350,735,46,50,"Volcano, Hot Springs & Ammoudi Bay",65,
schoinoussa,3.8,50,115,240,32,—,Psili Ammos & the South Coast,55,
serifos,3.8,50,115,240,32,42,,,
sifnos,3.5,65,140,295,34,42,,,
sikinos,4.0,50,115,240,31,42,Beaches & Boat Trip,55,
skiathos,3.0,80,175,370,36,42,Beach Boat Tour,55,
skopelos,3.8,50,115,240,32,42,,,
skyros,4.2,50,115,240,30,42,,,
spetses,2.0,95,210,440,41,50,,,
symi,2.5,80,175,370,38,42,,,
syros,3.5,65,140,295,34,42,,,
telendos,4.0,50,115,240,31,—,,,
thasos,4.1,50,115,240,30,42,,,
therasia,3.5,65,140,295,34,—,"Manolas, Potamos & Korfos",55,
thymaina,4.3,45,95,200,30,—,,,
tilos,4.2,50,115,240,30,42,,,
tinos,3.2,65,140,295,35,42,,,
zakynthos,3.5,65,140,295,34,42,,,
